frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
597,19.9,1,591.0,439.4,0.418,0.973,0.087,0.562,0.017,0.998,0.943,65.7,,,32.8,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
597,19.9,2,583.3,117.3,0.969,0.856,0.437,0.964,0.891,0.971,0.93,24.6,584.1,109.4,12.3,shoulders*0.5,-0.0631,ok,0.3,center,center,False,0,2,False,0.0
597,19.9,4,582.2,35.9,0.932,0.912,0.152,0.961,0.716,0.985,0.901,45.0,581.9,29.8,22.5,shoulders*0.5,0.0124,ok,0.3,center,center,False,0,2,False,0.0
597,19.9,5,513.4,208.6,0.657,0.923,0.184,0.709,0.125,0.985,0.923,74.8,513.4,208.6,37.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
598,19.93,1,591.0,439.4,0.418,0.973,0.087,0.562,0.017,0.998,0.943,65.7,,,32.8,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
598,19.93,2,583.3,117.3,0.969,0.856,0.437,0.964,0.891,0.971,0.93,24.6,584.1,109.4,12.3,shoulders*0.5,-0.0631,ok,0.3,center,center,False,0,2,False,0.0
598,19.93,4,582.2,35.9,0.932,0.912,0.152,0.961,0.716,0.985,0.901,45.0,581.9,29.8,22.5,shoulders*0.5,0.0124,ok,0.3,center,center,False,0,2,False,0.0
598,19.93,5,513.4,208.6,0.657,0.923,0.184,0.709,0.125,0.985,0.923,74.8,513.4,208.6,37.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
599,19.97,1,591.0,439.4,0.418,0.973,0.087,0.562,0.017,0.998,0.943,65.7,,,32.8,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
599,19.97,2,583.3,117.3,0.969,0.856,0.437,0.964,0.891,0.971,0.93,24.6,584.1,109.4,12.3,shoulders*0.5,-0.0631,ok,0.3,center,center,False,0,2,False,0.0
599,19.97,4,582.2,35.9,0.932,0.912,0.152,0.961,0.716,0.985,0.901,45.0,581.9,29.8,22.5,shoulders*0.5,0.0124,ok,0.3,center,center,False,0,2,False,0.0
